City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,manuguru,17.981,80.7547,71.22,80,5,1.63,IN,2023-10-31 02:29:57
248,saint-philippe,-21.3585,55.7679,74.79,81,16,8.84,RE,2023-10-31 02:29:57
249,arraial do cabo,-22.9661,-42.0278,75.78,91,100,3.47,BR,2023-10-31 02:29:57
250,lensk,60.7253,114.9278,15.51,81,100,7.23,RU,2023-10-31 02:29:57
251,caleta de carquin,-11.0925,-77.6267,67.32,87,99,8.72,PE,2023-10-31 02:24:47
252,ginir,7.1333,40.7,55.83,84,8,3.65,ET,2023-10-31 02:29:57
253,tazovsky,67.4667,78.7,1.11,97,34,5.08,RU,2023-10-31 02:25:08
254,blythe,33.6103,-114.5964,66.65,10,0,8.05,US,2023-10-31 02:29:58
255,kerrville,30.0474,-99.1403,44.55,63,100,11.5,US,2023-10-31 02:29:58
256,tulun,54.5611,100.5792,17.96,78,100,2.15,RU,2023-10-31 02:29:58
257,mingshui,36.7167,117.5,79.56,36,81,10.29,CN,2023-10-31 02:29:58
258,atherton,53.5237,-2.4935,48.34,93,100,9.37,GB,2023-10-31 02:24:35
259,viedma,-40.8135,-62.9967,42.64,74,1,7.76,AR,2023-10-31 02:29:58
260,novaya igirma,57.1334,103.9112,16.65,70,49,5.28,RU,2023-10-31 02:29:58
261,eureka,40.8021,-124.1637,51.93,82,95,1.97,US,2023-10-31 02:29:58
262,luwuk,-0.9516,122.7875,87.96,58,86,4.05,ID,2023-10-31 02:29:58
263,afaahiti,-17.75,-149.2833,80.47,82,41,18.37,PF,2023-10-31 02:29:58
264,yiwu,29.3151,120.0768,72.81,61,0,1.97,CN,2023-10-31 02:28:07
265,conde,-7.2597,-34.9075,74.66,88,20,5.75,BR,2023-10-31 02:25:44
266,walvis bay,-22.9575,14.5053,56.35,100,0,0.0,NA,2023-10-31 02:29:59
267,east london,-33.0153,27.9116,55.72,86,25,9.1,ZA,2023-10-31 02:29:59
268,basco,20.4487,121.9702,80.64,73,67,20.89,PH,2023-10-31 02:25:24
269,vorgashor,67.5833,63.95,13.3,95,100,8.99,RU,2023-10-31 02:29:59
270,shagonar,51.5333,92.8,30.34,89,100,1.48,RU,2023-10-31 02:29:59
271,quiberon,47.4841,-3.1196,58.06,86,15,13.0,FR,2023-10-31 02:29:59
272,murray bridge,-35.1167,139.2667,63.12,37,24,12.53,AU,2023-10-31 02:29:59
273,melfi,40.9965,15.6514,63.99,48,100,9.84,IT,2023-10-31 02:29:59
274,tarawa,1.419,172.984,87.89,70,40,5.75,KI,2023-10-31 02:30:00
275,zapala,-38.8992,-70.0544,42.26,50,8,6.55,AR,2023-10-31 02:30:00
276,khandyga,62.6667,135.6,15.37,93,100,4.9,RU,2023-10-31 02:27:33
277,geraldton,-28.7667,114.6,86.41,17,0,18.41,AU,2023-10-31 02:29:11
278,prince rupert,54.3161,-130.3201,44.29,81,0,5.75,CA,2023-10-31 02:30:00
279,zakynthos,37.7914,20.8953,65.64,75,0,3.89,GR,2023-10-31 02:30:00
280,yuza,39.0,139.9167,66.25,61,53,3.58,JP,2023-10-31 02:30:00
281,diamantino,-14.4086,-56.4461,72.9,91,77,3.58,BR,2023-10-31 02:30:00
282,tofol,5.3248,163.0078,80.38,94,100,11.5,FM,2023-10-31 02:30:01
283,nuuk,64.1835,-51.7216,50.61,29,75,18.41,GL,2023-10-31 02:26:42
284,bom jesus,-9.0744,-44.3586,76.66,34,40,1.9,BR,2023-10-31 02:30:01
285,khovd,48.0056,91.6419,46.11,47,75,5.97,MN,2023-10-31 02:30:01
286,kendari,-3.945,122.4989,90.75,49,51,7.56,ID,2023-10-31 02:30:01
287,roma,43.2128,-75.4557,41.95,92,100,8.05,US,2023-10-31 02:26:51
288,seydi,39.4816,62.9137,57.4,59,95,17.49,TM,2023-10-31 02:25:07
289,port mathurin,-19.6833,63.4167,75.9,82,30,18.99,MU,2023-10-31 02:24:59
290,pionerskiy,54.9508,20.2275,52.14,85,100,14.99,RU,2023-10-31 02:30:02
291,san fernando,15.0286,120.6898,86.72,61,99,10.16,PH,2023-10-31 02:30:02
292,isafjordur,66.0755,-23.124,34.79,73,45,4.09,IS,2023-10-31 02:24:46
293,senillosa,-39.0,-68.4167,55.18,29,100,10.04,AR,2023-10-31 02:30:05
294,yemetsk,63.4721,41.7941,19.51,95,22,3.51,RU,2023-10-31 02:30:06
295,sungailiat,-1.85,106.1333,83.95,72,60,9.66,ID,2023-10-31 02:24:52
296,ratnagiri,16.9833,73.3,80.98,60,10,5.55,IN,2023-10-31 02:30:07
297,sar-e pul,35.8333,66.1667,56.05,42,71,2.04,AF,2023-10-31 02:30:07
298,sinabang,2.4803,96.3801,79.75,81,99,3.67,ID,2023-10-31 02:24:41
